Buffer,Index,Buffer Size (KB),Buffer Depth
HardSwish_34 - Concat_99,0,1114.108,557054
HardSwish_58 - Concat_84,1,541.246,270623
HardSwish_82 - Concat_127,2,468.682,234341
HardSwish_55 - Concat_56,3,324.204,162102
HardSwish_69 - Concat_70,4,269.648,134824
HardSwish_135 - Concat_136,5,269.11,134555
HardSwish_62 - Add_67,6,266.204,133102
HardSwish_31 - Concat_32,7,141.486,70743
HardSwish_92 - Concat_93,8,110.108,55054
HardSwish_121 - Concat_122,9,108.226,54113
Add_48 - Add_53,10,106.772,53386
Add_43 - Add_48,11,106.772,53386
HardSwish_38 - Add_43,12,106.772,53386
HardSwish_97 - Concat_113,13,98.676,49338
HardSwish_19 - Add_24,14,92.936,46468
HardSwish_74 - Concat_78,15,66.828,33414
HardSwish_107 - Concat_108,16,49.014,24507
Add_24 - Add_29,17,47.346,23673
MaxPool_75 - Concat_78,18,45.916,22958
HardSwish_12 - Concat_13,19,44.22,22110
HardSwish_5 - Add_10,20,43.856,21928
MaxPool_76 - Concat_78,21,25.004,12502
MaxPool_77 - Concat_78,22,4.224,2112
HardSwish_133 - Concat_136,23,1.152,576
HardSwish_126 - Concat_127,24,1.152,576
Resize_83 - Concat_84,25,1.152,576
Add_67 - Concat_70,26,1.152,576
HardSwish_119 - Concat_122,27,0.64,320
HardSwish_112 - Concat_113,28,0.64,320
Resize_98 - Concat_99,29,0.64,320
HardSwish_90 - Concat_93,30,0.64,320
Add_53 - Concat_56,31,0.64,320
HardSwish_105 - Concat_108,32,0.384,192
Add_29 - Concat_32,33,0.384,192
Add_10 - Concat_13,34,0.256,128
HardSwish_66 - Add_67,35,0.128,64
HardSwish_52 - Add_53,36,0.128,64
HardSwish_47 - Add_48,37,0.128,64
HardSwish_42 - Add_43,38,0.128,64
HardSwish_28 - Add_29,39,0.128,64
HardSwish_23 - Add_24,40,0.128,64
HardSwish_9 - Add_10,41,0.128,64
