Model,Input Shape,Device,Power,Cycles,WNS,Period,Freqency,Latency (ms),Energy (mJ)
YOLOv5n,320x320,U250,115.938,843269,-1.552,2.857,226.8088002,3.717973021,431.0543561
YOLOv5n,320x320,ZCU104,14.504,2980258,0.034,3.333,303.1221582,9.831871142,142.601459
YOLOv5n,320x320,VCU110,23.881,1312417,-0.178,3.571,266.7377967,4.920251333,117.5005221
YOLOv5n,320x320,VCU118,63.269,773455,0,2.857,350.0175009,2.209760935,139.8093646
YOLOv5n,320x320,Jetson TX2,6.59,-,-,-,1300,10.73,70.7107
YOLOv5n,640x640,U250,105.514,1184099,-1.234,3.175,226.8088002,5.220692491,550.8561475
YOLOv5n,640x640,ZCU104,14.819,5759462,-0.014,3.704,268.9618074,21.41367972,317.3293197
YOLOv5n,640x640,VCU110,22.75,2815198,0,4.167,239.9808015,11.73093007,266.878659
YOLOv5n,640x640,VCU118,60.273,1462136,0,3.175,314.9606299,4.6422818,279.8042509
YOLOv5n,640x640,Jetson TX2,8.58,-,-,-,1300,32.28,276.9624
